tconst,numVotes,averageRating
tt0053704,261,6.2
tt0053707,552,6.5
tt0053714,294,7.1
tt0053726,264,5.9
tt0053738,294,6.2
tt0053739,401,6.9
tt0053749,258,5.5
tt0053769,226,6.0
tt0053779,78674,8.0
tt0053780,445,6.7
tt0053802,1442,6.4
tt0053814,232,6.5
tt0053820,200,6.4
tt0053833,226,6.1
tt0053856,3721,7.7
tt0053861,387,5.1
tt0053864,286,7.1
tt0053870,161,6.7
tt0053872,358,6.3
tt0053906,184,5.0
tt0053964,147,6.3
tt0054013,686,6.3
tt0054044,300,5.1
tt0054048,22,4.8
tt0054068,855,7.1
tt0054069,119,6.6
tt0054091,1186,6.9
tt0054099,2107,6.5
tt0054104,83,5.3
tt0054129,39,5.3
tt0054130,24255,7.9
tt0054131,318,6.9
tt0054153,21,5.8
tt0054156,2732,6.7
tt0054161,310,6.8
tt0054177,8190,7.1
tt0054185,181,5.3
tt0054189,19862,7.7
tt0054196,50,5.3
tt0054208,522,6.1
tt0054210,112,6.8
tt0054225,2484,7.5
tt0054236,79,6.0
tt0054238,72,6.0
tt0054248,21364,8.2
tt0054252,322,6.8
tt0054259,60,5.3
tt0054263,150,4.9
tt0054264,41,5.8
tt0054289,230,4.8
tt0054371,3844,6.9
tt0054374,223,6.7
tt0054377,3776,7.2
tt0054389,20741,7.4
tt0054394,153,5.6
tt0054407,20607,8.5
tt0054413,1464,7.7
tt0054423,233,4.7
tt0054425,2108,7.2
tt0054426,1064,6.9
tt0054437,621,5.2
tt0054447,457,6.3
tt0054452,4585,7.6
tt0054494,6793,6.9
tt0054516,266,5.2
tt0054603,286,6.4
tt0054605,136,6.1
tt0054621,229,6.3
tt0054630,201,6.2
tt0054632,25046,7.6
tt0054637,467,6.1
tt0054640,1539,7.0
tt0054641,166,5.3
tt0054650,146,5.2
tt0054669,214,6.2
tt0054676,701,6.3
tt0054700,546,5.5
tt0054703,72,5.8
tt0054719,166,5.7
tt0054729,311,5.0
tt0054734,1417,7.0
tt0054736,71,5.5
tt0054745,3626,7.5
tt0054749,12549,7.7
tt0054756,4269,5.8
tt0054758,923,6.5
tt0054761,544,6.5
tt0054769,181,6.3
tt0054799,232,7.0
tt0054810,126,5.7
tt0054821,12083,7.7
tt0054834,105,5.7
tt0054837,15,6.0
tt0054838,196,6.5
tt0054851,1653,4.4
tt0054855,281,5.9
tt0054903,241,4.6
tt0054928,226,6.2
tt0054931,774,6.6
tt0054932,173,5.6
tt0054936,3130,7.0
tt0054941,107,6.3
tt0054949,2852,7.4
tt0054963,503,5.6
tt0055008,797,5.9
tt0055012,84,6.2
tt0055022,969,6.2
tt0055029,223,6.4
tt0055032,44660,7.7
tt0055076,73,7.0
tt0055080,55,6.7
tt0055082,5738,7.5
tt0055087,208,5.8
tt0055093,7646,7.5
tt0055114,319,4.8
tt0055178,505,5.5
tt0055182,443,6.1
tt0055190,366,5.3
